,issue_key,issue_type,time,updated_status
548,US-9910,Story,2019-08-28T11:41:14.286-0400,Test
549,US-9910,Story,2019-08-20T08:13:38.715-0400,Doing
550,US-9910,Story,2019-04-10T14:59:54.820-0400,To Do
546,US-9910,Story,2019-09-06T09:19:56.525-0400,Closed
547,US-9910,Story,2019-09-06T08:38:55.259-0400,Verified
535,US-9799,Bug,2019-08-30T11:43:14.249-0400,Test
545,US-9799,Bug,2019-03-13T14:07:24.582-0400,To Do
544,US-9799,Bug,2019-03-15T14:10:18.934-0400,Doing
543,US-9799,Bug,2019-04-01T10:20:04.935-0400,To Do
542,US-9799,Bug,2019-04-01T10:20:54.761-0400,Doing
541,US-9799,Bug,2019-04-10T14:29:34.524-0400,Blocked
540,US-9799,Bug,2019-08-07T10:41:42.362-0400,Doing
539,US-9799,Bug,2019-08-07T15:04:32.787-0400,To Do
538,US-9799,Bug,2019-08-15T11:15:05.528-0400,Doing
537,US-9799,Bug,2019-08-20T09:11:26.014-0400,Test
536,US-9799,Bug,2019-08-23T09:09:22.204-0400,Doing
534,US-9799,Bug,2019-09-04T11:41:00.838-0400,Verified
533,US-9799,Bug,2019-09-04T12:08:48.947-0400,Closed
532,US-9467,Bug,2019-08-22T15:19:36.678-0400,To Do
531,US-9467,Bug,2019-09-17T13:14:56.499-0400,Doing
530,US-9467,Bug,2019-09-18T10:28:50.833-0400,Test
529,US-9467,Bug,2019-09-23T09:05:21.988-0400,Verified
528,US-9467,Bug,2019-09-24T09:56:06.925-0400,Closed
527,US-9100,Spike,2019-08-29T14:57:54.789-0400,To Do
526,US-9100,Spike,2019-08-29T14:57:59.525-0400,Open
525,US-9100,Spike,2019-08-29T14:58:19.269-0400,To Do
524,US-9100,Spike,2019-08-29T14:58:22.526-0400,Doing
523,US-9100,Spike,2019-09-06T08:55:55.489-0400,Closed
522,US-8205,Story,2018-02-23T18:23:00.911-0500,Backlog
520,US-8205,Story,2019-08-27T20:23:29.195-0400,Doing
519,US-8205,Story,2019-09-05T14:09:09.928-0400,Test
521,US-8205,Story,2018-12-03T17:10:42.170-0500,To Do
518,US-8205,Story,2019-09-09T07:04:00.778-0400,Verified
517,US-8205,Story,2019-09-09T07:04:37.201-0400,Test
516,US-8205,Story,2019-09-09T07:04:44.073-0400,Documentation
515,US-8205,Story,2019-09-09T13:25:22.421-0400,Verified
514,US-8205,Story,2019-09-10T10:46:31.695-0400,Closed
511,US-7967,Technical Story,2019-09-05T13:37:22.694-0400,Test
506,US-7967,Technical Story,2019-09-09T14:09:32.292-0400,Closed
508,US-7967,Technical Story,2019-09-09T07:22:22.256-0400,Documentation
509,US-7967,Technical Story,2019-09-05T17:06:06.840-0400,Test
510,US-7967,Technical Story,2019-09-05T17:05:50.089-0400,Documentation
512,US-7967,Technical Story,2019-09-04T16:21:57.632-0400,Doing
513,US-7967,Technical Story,2019-09-04T16:21:49.372-0400,To Do
507,US-7967,Technical Story,2019-09-09T11:36:34.428-0400,Verified
497,US-2693,Bug,2019-09-20T14:47:19.229-0400,Closed
503,US-2693,Bug,2019-01-10T14:06:19.598-0500,Closed
505,US-2693,Bug,2016-05-05T13:55:01.814-0400,Backlog
498,US-2693,Bug,2019-09-20T11:44:47.743-0400,Verified
504,US-2693,Bug,2018-12-03T17:14:24.254-0500,To Do
500,US-2693,Bug,2019-09-11T11:06:02.081-0400,Doing
502,US-2693,Bug,2019-09-11T11:05:01.395-0400,Open
501,US-2693,Bug,2019-09-11T11:05:17.649-0400,To Do
499,US-2693,Bug,2019-09-11T13:19:36.740-0400,Test
495,US-2691,Bug,2018-12-03T17:14:31.121-0500,To Do
496,US-2691,Bug,2016-05-05T13:55:02.057-0400,Backlog
493,US-2691,Bug,2019-09-11T10:48:54.209-0400,Open
492,US-2691,Bug,2019-09-11T10:51:49.889-0400,To Do
491,US-2691,Bug,2019-09-11T10:51:55.060-0400,Doing
490,US-2691,Bug,2019-09-11T13:19:32.791-0400,Test
489,US-2691,Bug,2019-09-20T11:45:06.253-0400,Verified
488,US-2691,Bug,2019-09-20T14:47:32.529-0400,Closed
494,US-2691,Bug,2019-01-10T14:06:29.442-0500,Closed
552,US-10514,Story,2019-10-02T12:57:32.278-0400,Verified
551,US-10514,Story,2019-10-02T13:13:32.831-0400,Closed
554,US-10514,Story,2019-09-26T11:02:02.830-0400,Doing
553,US-10514,Story,2019-10-01T10:09:39.408-0400,Test
555,US-10514,Story,2019-09-24T18:06:54.102-0400,To Do
556,US-10513,Story,2019-10-02T13:13:55.966-0400,Closed
557,US-10513,Story,2019-10-02T12:52:21.544-0400,Verified
558,US-10513,Story,2019-10-01T09:11:09.143-0400,Test
559,US-10513,Story,2019-09-26T11:52:30.207-0400,Doing
560,US-10513,Story,2019-09-23T17:10:22.672-0400,To Do
561,US-10509,Story,2019-10-07T10:08:58.214-0400,Closed
562,US-10509,Story,2019-10-04T10:05:28.770-0400,Verified
564,US-10509,Story,2019-10-03T10:00:09.506-0400,Test
565,US-10509,Story,2019-09-26T11:50:20.278-0400,Doing
566,US-10509,Story,2019-09-25T17:10:28.661-0400,To Do
563,US-10509,Story,2019-10-03T15:32:05.415-0400,Documentation
571,US-10503,Story,2019-09-23T12:21:04.186-0400,To Do
567,US-10503,Story,2019-10-03T15:10:57.293-0400,Closed
568,US-10503,Story,2019-10-03T10:27:54.197-0400,Verified
569,US-10503,Story,2019-10-01T15:38:50.054-0400,Test
570,US-10503,Story,2019-10-01T15:38:48.387-0400,Doing
484,US-10453,Story,2019-09-16T11:15:57.181-0400,Documentation
482,US-10453,Story,2019-09-16T16:20:17.771-0400,Closed
483,US-10453,Story,2019-09-16T13:15:43.170-0400,Verified
487,US-10453,Story,2019-09-16T09:09:19.799-0400,To Do
486,US-10453,Story,2019-09-16T11:15:49.603-0400,Doing
485,US-10453,Story,2019-09-16T11:15:52.915-0400,Test
